id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link
4181,Clannad: After Story,Clannad: After Story  the sequel to the critically acclaimed slice-of-life series Clannad  begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds. Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose. Based on the visual novel by Key and produced by Kyoto Animation Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.,Slice of Life;Comedy;Supernatural;Drama;Romance,2008-10-03,24,740101,64,12,8.97,https://cdn.myanimelist.net/images/anime/13/24647.jpg,https://myanimelist.net/anime/4181/Clannad__After_Story
30276,One Punch Man,The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream he trained relentlessly for three years—and lost all of his hair in the process. Now Saitama is incredibly powerful so much so that no enemy is able to defeat him in battle. In fact all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. This all changes with the arrival of Genos a 19-year-old cyborg who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society and Saitama shocked that no one knows who he is quickly agrees. And thus begins the story of One Punch Man  an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe he'll become popular in the process.,Action;Sci-Fi;Comedy;Parody;Super Power;Supernatural;Seinen,2015-10-05,12,1475219,5,50,8.68,https://cdn.myanimelist.net/images/anime/12/76049.jpg,https://myanimelist.net/anime/30276/One_Punch_Man
16664,Kaguya-hime no Monogatari,Deep in the countryside a man named Okina works as a bamboo cutter in a forest chopping away at the hollow plants day after day. One day he discovers a small baby inside a glowing shoot. He immediately takes her home convinced that she is a princess sent to Earth as a divine blessing from heaven. Okina and his wife Ouna take it upon themselves to raise the infant as their own watching over her as she quickly grows into an energetic young girl. Given the name Kaguya she fits right in with the village she has come to call home going on adventures with the other children and enjoying what youth has to offer. But when Okina finds a large fortune of gold and treasure in the forest Kaguya's life is completely changed. Believing this to be yet another gift from heaven he takes it upon himself to turn his daughter into a real princess using the wealth he has just obtained relocating the family to a mansion in the capital. As she leaves her friends behind to enter into an unwanted life of royalty Kaguya's origins and purpose slowly come to light.,Fantasy;Historical,2013-11-23,1,99563,1106,250,8.28,https://cdn.myanimelist.net/images/anime/1935/93606.jpg,https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari
5680,K-On!,Hirasawa Yui a young carefree girl entering high school has her imagination instantly captured when she sees a poster advertising the Light Music Club. Being the carefree girl that she is she quickly signs up however Yui has a problem she is unable to play an instrument. When Yui goes to the clubroom to explain she's greeted by the other members: Ritsu Mio and Tsumugi. Although disheartened at Yui's lack of musical know-how they still try to convince her to stay to prevent the club's disbandment. After playing Yui a short piece which re-ignites her imagination they succeed in keeping their new member and guitarist. Along with the tasks of school and homework Yui begins to learn the guitar with the help of the other band members experiencing many mishaps along the way. However with the school festival drawing near and Yui getting stuck with her practice will the Light Music Club be ready in time for their debut?,Slice of Life;Comedy;Music;School,2009-04-03,13,610222,90,792,7.86,https://cdn.myanimelist.net/images/anime/10/76120.jpg,https://myanimelist.net/anime/5680/K-On
38145,Doukyonin wa Hiza Tokidoki Atama no Ue.,Subaru Mikazuki is a 23-year-old mystery novel author major introvert and an awkwardly shy person. He would much rather stay home to read a book than go outside and interact with others. Further exacerbating this life of solitude his parents tragically died in an accident many years ago leaving him alone in the world. One day while giving offerings at his parents' grave Subaru runs into a small grey and white cat named Haru which he ends up taking home with him. Subaru however has never taken care of anyone else in his life—can he even take care of a cat? Haru is grateful toward Subaru as he gives her all the food she wants—a luxury for a cat who is used to a rough life on the streets. But she notices that Subaru can't even seem to take care of himself! Will she be okay with this dunce? Doukyonin wa Hiza Tokidoki Atama no Ue. tells the story of an unlikely friendship between a human and a cat who try to foster an understanding with each other.,Slice of Life;Comedy,2019-01-09,12,89612,1216,784,7.86,https://cdn.myanimelist.net/images/anime/1251/99191.jpg,https://myanimelist.net/anime/38145/Doukyonin_wa_Hiza_Tokidoki_Atama_no_Ue
552,Digimon Adventure,When a group of kids head out for summer camp they don't expect it to snow in the middle of July. Out of nowhere the kids receive strange devices which transport them to a very different world to begin their Digimon Adventure ! Led by the plucky Taichi Yagami the seven children must now survive in a realm far from home filled with monsters and devoid of other humans. Luckily they're not alone: each child is paired off with a companion digital monster called a Digimon. Together the children and their new friends must overcome their insecurities discover their inner strengths and evolve into stronger fighters - literally. A force of evil is spreading through the Digital World corrupting all the Digimon. The DigiDestined have arrived and it’s up to them to save the Digital World if they ever want to see their home world again.,Action;Adventure;Comedy;Fantasy;Kids,1999-03-07,54,274830,356,783,7.86,https://cdn.myanimelist.net/images/anime/10/11070.jpg,https://myanimelist.net/anime/552/Digimon_Adventure
322,Paradise Kiss,On her way home from school Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair a spiked choker and multiple piercings on his ears and face. She wants nothing to do with him and runs away only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around Yazawa Art Academy and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show. Yukari turns down their offer and escapes the Atelier but unknowingly leaves her school ID behind. George Koizumi the head designer later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion?,Comedy;Drama;Josei;Romance;Slice of Life,2005-10-14,12,122787,916,772,7.87,https://cdn.myanimelist.net/images/anime/7/80636.jpg,https://myanimelist.net/anime/322/Paradise_Kiss
97,Last Exile,In the world of Prester flight is the dominant mode of transportation made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as the Guild has absolute authority over the skies with a monopoly on the engines that make use of this fluid. Moreover as ecological disasters destabilize the warring countries of Anatoray and Disith the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers piloting small two-person vanships that fly freely through the sky. Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca son of a famous vanship pilot and Lavie Head Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations which even standard airships struggle to survive. However when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana they get dragged into a much greater conflict that pits them against the might of the Guild.,Action;Sci-Fi;Adventure,2003-04-08,26,137273,810,768,7.87,https://cdn.myanimelist.net/images/anime/7/10888.jpg,https://myanimelist.net/anime/97/Last_Exile
1571,Ghost Hunt,While at school Taniyama Mai and her friends like to exchange ghost stories. Apparently there is an abandoned school building on their campus that is the center of many ghost stories. During the story they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building. The next day on the way to school Mai passes the school building in question. While examining a strange camera she spotted inside she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation Mai breaks the camera and Kazuya's assistant gets injured. Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on Mai begins to learn about the paranormal world and the profession of ghost hunting.,Mystery;Comedy;Horror;Supernatural;Shoujo,2006-10-04,25,172769,630,760,7.87,https://cdn.myanimelist.net/images/anime/11/73908.jpg,https://myanimelist.net/anime/1571/Ghost_Hunt
269,Bleach,Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki who gets injured while protecting Ichigo's family from the assailant. To save his family Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However as Rukia is unable to regain her powers Ichigo is given the daunting task of hunting down the Hollows that plague their town. However he is not alone in his fight as he is later joined by his friends—classmates Orihime Inoue Yasutora Sado and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.,Action;Adventure;Comedy;Super Power;Supernatural;Shounen,2004-10-05,366,1002578,25,757,7.87,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://myanimelist.net/anime/269/Bleach
30123,Akagami no Shirayuki-hime,Although her name means snow white Shirayuki is a cheerful red-haired girl living in the country of Tanbarun who works diligently as an apothecary at her herbal shop. Her life changes drastically when she is noticed by the silly prince of Tanbarun Prince Raji who then tries to force her to become his concubine. Unwilling to give up her freedom Shirayuki cuts her long red hair and escapes into the forest where she is rescued from Raji by Zen Wistalia the second prince of a neighboring country and his two aides. Hoping to repay her debt to the trio someday Shirayuki sets her sights on pursuing a career as the court herbalist in Zen's country Clarines. Akagami no Shirayuki-hime depicts Shirayuki's journey toward a new life at the royal palace of Clarines as well as Zen's endeavor to become a prince worthy of his title. As loyal friendships are forged and deadly enemies formed Shirayuki and Zen slowly learn to support each other as they walk their own paths.,Fantasy;Romance;Drama;Shoujo,2015-07-07,12,336418,289,756,7.87,https://cdn.myanimelist.net/images/anime/10/75764.jpg,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime
32998,91 Days,As a child living in the town of Lawless Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear he leaves both his name and hometown behind adopting the new identity of Avilio Bruno. Seven years later Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging he soon encounters the Vanetti don's son Nero and seeks to befriend him using the skills he has quietly honed for years. Set during the Prohibition era 91 Days tells the story of Avilio's dark bloodstained path to vengeance as he slowly ends each of the men involved in the killing of his family.,Action;Drama;Historical,2016-07-09,12,340857,281,755,7.87,https://cdn.myanimelist.net/images/anime/13/80515.jpg,https://myanimelist.net/anime/32998/91_Days
202,Wolf's Rain,In a dying world there exists an ancient legend: when the world ends the gateway to paradise will be opened. This utopia is the sole salvation for the remnants of life in this barren land but the legend also dictates that only wolves can find their way to this mythical realm. Though long thought to be extinct wolves still exist and live amongst humans disguising themselves through elaborate illusions. A lone wolf named Kiba finds himself drawn by an intoxicating scent to Freeze City an impoverished town under the rule of the callous Lord Orkham. Here Kiba discovers that wolves Hige Tsume and Toboe have been drawn in by the same aroma. By following the fragrance of Lunar Flowers said to be the key to opening the door to their ideal world the wolves set off on a journey across desolate landscapes and crumbling cities to find their legendary promised land. However they are not the only ones seeking paradise and those with more sinister intentions will do anything in their power to reach it first.,Action;Adventure;Drama;Fantasy;Mystery;Sci-Fi,2003-01-07,26,238834,425,754,7.88,https://cdn.myanimelist.net/images/anime/5/59403.jpg,https://myanimelist.net/anime/202/Wolfs_Rain
35860,Karakai Jouzu no Takagi-san,Having a friend that knows you inside out should be a good thing but in Nishikata's case the opposite is true. His classmate Takagi loves to tease him on a daily basis and she uses her extensive knowledge of his behavior to predict exactly how he will react to her teasing making it nearly impossible for Nishikata to ever make a successful comeback. Despite this Nishikata vows to someday give Takagi a taste of her own medicine by making her blush out of embarrassment from his teasing.,Romance;Comedy;School;Slice of Life;Shounen,2018-01-08,12,235513,442,746,7.88,https://cdn.myanimelist.net/images/anime/1591/95091.jpg,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
3092,Junjou Romantica,Misaki Takahashi is a regular high school student who is preparing for his university entrance exams. In order to reduce the stress of studying or so he hopes he accepts the help of his older brother's best friend and famous author Akihiko Usami. However Masaki is about to find out that Usami's books are of a very naughty genre and that there may be something naughty waking up inside Masaki as well. Junjou Romantica also follows the story of two other couples loosely connected to Masaki and Usami's Romantica. Egoist shows the very passionate but often complicated relationship between university professor Hiroki Kamijou (whose life has reached an all time low) and paediatrician Nowaki Kusama who falls for Hiroki at first sight and would do anything to make him happy. The third story Terrorist shows just how obsessive love can become when rich eighteen-year-old Shinobu Takatsuki finally discovers something that he cannot have so easily—the literature professor You Miyagi. There is passion abound as these three couples try to achieve their goals in life while also falling into temptation and anguish with their partners.,Comedy;Drama;Romance;Shounen Ai,2008-04-11,12,169037,647,745,7.88,https://cdn.myanimelist.net/images/anime/7/8811.jpg,https://myanimelist.net/anime/3092/Junjou_Romantica
28999,Charlotte,While on the surface Yuu Otosaka appears to be just another charming and intelligent teenager he has a secret—he has the ability to slip into people's minds and fully control their body for five seconds at a time. Yuu has been using this skill for years to gain the highest grades which allowed him to enter a prestigious high school. When the enigmatic Nao Tomori catches Yuu using his power she coerces him and his sister Ayumi into transferring to Hoshinoumi Academy a school for students with supernatural abilities. The student council of the school led by Nao is tasked with secretly tracking down adolescents who abuse their powers. Yuu is forced to join the student council and together they face formidable challenges that bring him closer to the shocking truth that his own seemingly incomplete ability might be more powerful than he could have ever imagined. An original story from Jun Maeda creator of Angel Beats and Clannad  Charlotte explores the supernatural lives of these teenagers and the price they must pay for being special.,Drama;School;Super Power,2015-07-05,13,734250,66,742,7.88,https://cdn.myanimelist.net/images/anime/12/74683.jpg,https://myanimelist.net/anime/28999/Charlotte
20057,Space☆Dandy,The universe is a mysterious and strange place full of even stranger and more mysterious aliens. Dandy's job is to hunt down unclassified aliens and register them for a reward. It sounds easy enough but something weird always seems to happen along the way like chance meetings with zombies mystical ramen chefs and adorable orphans. Hunting down aliens may not be easy but it's definitely never boring. With the help of his sidekicks the adorable robot vacuum QT and cat-like alien Meow and his slightly-used ship the Aloha Oe Dandy roams the galaxy searching for new alien species. What he usually finds however is adventure danger and romance and no two journeys (or universes) are ever the same. This is Space☆Dandy  baby!,Sci-Fi;Space;Comedy,2014-01-05,13,216068,500,737,7.89,https://cdn.myanimelist.net/images/anime/4/56611.jpg,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
11887,Kokoro Connect,When five students at Yamaboshi Academy realize that there are no clubs where they fit in they band together to form the Student Cultural Society or StuCS for short. The club consists of: Taichi Yaegashi a hardcore wrestling fan Iori Nagase an indecisive optimist Himeko Inaba a calm computer genius Yui Kiriyama a petite karate practitioner and Yoshifumi Aoki the class clown. One day Aoki and Yui experience a strange incident when without warning they switch bodies for a short period of time. As this supernatural phenomenon continues to occur randomly amongst the five friends they begin to realize that it is not just fun and games. Now forced to become closer than ever they soon discover each other's hidden secrets and emotional scars which could end up tearing the StuCS and their friendship apart.,Slice of Life;Comedy;Supernatural;Drama;Romance;School,2012-07-08,13,498307,135,732,7.89,https://cdn.myanimelist.net/images/anime/2/39665.jpg,https://myanimelist.net/anime/11887/Kokoro_Connect
267,Gungrave,Brandon Heat and Harry MacDowel two friends so close they could be called brothers receive an abrupt and violent reminder one fateful day of how appallingly merciless the world around them can be. Their whole lives before then were simple and easygoing consisting largely of local brawls seducing women and committing petty theft to make a living and pass the time. What they failed to realize is that in this cruel world happiness is fleeting and change is inevitable. Enter Millennion the largest and most infamous mafia syndicate in the area which accepts Brandon and Harry into their ranks and starts them at the bottom of the food chain. Harry has ambitions to ascend the ranks and one day replace Big Daddy as the supreme leader of Millennion while Brandon only wishes to support his friend and appease Big Daddy who has taken custody of the woman Brandon loves. Based off the third-person shooter video game under the same name Gungrave is an epic story of friendship betrayal and avarice that spans the course of several years ultimately tying back to the gripping and foreboding first episode all the while building up to the story's thrilling conclusion.,Action;Drama;Sci-Fi;Seinen;Super Power,2003-10-07,26,137057,812,727,7.89,https://cdn.myanimelist.net/images/anime/11/75724.jpg,https://myanimelist.net/anime/267/Gungrave
39597,Sword Art Online: Alicization - War of Underworld,Despite the defeat of Quinella—the pontifex of the Axiom Church—things have not seemed to calm down yet. Upon contacting the real world Kazuto Kirito Kirigaya finds out that the Ocean Turtle—a mega-float controlled by Rath—was raided. Due to a sudden short-circuit caused by the raiders Kirito's fluctlight is damaged leaving him comatose. Feeling insecure about the people at the Axiom Church Alice brings the unconscious Kirito back to their hometown—Rulid Village disregarding her banishment due to an unabsolved crime. Now Alice is living an ordinary and peaceful life close by the village wishing for Kirito to wake up. However tragedy strikes when Alice notices that the Dark Territory has already started to invade the Human Empire. Reassuming her previous alias Alice Synthesis Thirty she promises to defeat the Dark Territory in order to defend the world that Kirito and Eugeo worked so hard to protect.,Action;Game;Adventure;Romance;Fantasy,2019-10-13,12,189943,568,721,7.9,https://cdn.myanimelist.net/images/anime/1630/103417.jpg,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld
12413,Jormungand,Brought up in a conflict-ridden environment child soldier Jonathan Jonah Mar hates weapons and those who deal them. But when Koko Hekmatyar an international arms dealer takes on Jonah as one of her bodyguards he has little choice but to take up arms. Along with Koko's other bodyguards composed mostly of former special-ops soldiers Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work. Jormungand follows Koko Jonah and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law she is forced to constantly sidestep both local and international authorities while doing business with armies private militaries and militias. With the CIA always hot on her trail and assassins around every corner Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying.,Action;Adventure;Seinen,2012-04-11,12,225965,464,715,7.9,https://cdn.myanimelist.net/images/anime/11/73280.jpg,https://myanimelist.net/anime/12413/Jormungand
5630,Higashi no Eden,On November 22 2010 Japan was hit by missile strikes a terrorist act that fortunately did not harm anyone becoming known as Careless Monday. Quickly forgotten society goes on about their lives as normal. During her graduation trip to America three months later friendly college student Saki Morimi's life is forever changed when she finds herself saved from unexpected trouble by Akira Takizawa. Takizawa is cheerful but odd in many ways—he is stark naked and suffers from amnesia believing himself to be a terrorist. In addition he possesses a strange cell phone loaded with 8.2 billion yen in digital cash. Despite Takizawa's suspicious traits Saki quickly befriends the enigmatic young man. However unbeknownst to her this is the beginning of a thrilling death game involving money cell phones and the salvation of the world. Higashi no Eden chronicles Saki's struggle to unravel the mysteries behind her savior while Takizawa himself battles other individuals armed with similar cell phones and returning memories which reveal his possible connection to the event from months ago.,Action;Sci-Fi;Mystery;Drama;Romance;Thriller,2009-04-10,11,398780,214,714,7.89,https://cdn.myanimelist.net/images/anime/9/15033.jpg,https://myanimelist.net/anime/5630/Higashi_no_Eden
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),On the surface Koudo Ikusei Senior High School is a utopia. The students enjoy an unparalleled amount of freedom and it is ranked highly in Japan. However the reality is less than ideal. Four classes A through D are ranked in order of merit and only the top classes receive favorable treatment. Kiyotaka Ayanokouji is a student of Class D where the school dumps its worst. There he meets the unsociable Suzune Horikita who believes she was placed in Class D by mistake and desires to climb all the way to Class A and the seemingly amicable class idol Kikyou Kushida whose aim is to make as many friends as possible. While class membership is permanent class rankings are not students in lower ranked classes can rise in rankings if they score better than those in the top ones. Additionally in Class D there are no bars on what methods can be used to get ahead. In this cutthroat school can they prevail against the odds and reach the top?,Slice of Life;Psychological;Drama;School,2017-07-12,12,344479,279,705,7.91,https://cdn.myanimelist.net/images/anime/5/86830.jpg,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
